ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.77758E+11,7.96103E+17,2770034292,TWEET FROM: neverbedull,NEVERBEDULL,The one that has UN on it obvs https://t.co/XeT216KPTA,http://twitter.com/2770034292/statuses/796102686961758209,TWITTER,United Kingdom,English,No,11/8/2016 21:30,11/30/2016 18:13,Neutral,0,0,0,0,0,0,0,180,118,1499,QUOTE_TWEET
5.73448E+11,7.93487E+17,599108836,TWEET FROM: petrolheadtoo,PETROLHEADTOO,'@Jenn_Abrams Are whites expected to behead people now',http://twitter.com/599108836/statuses/793487139656925185,TWITTER,United Kingdom,English,No,11/1/2016 16:17,11/18/2016 21:15,Negative,0,0,0,0,0,0,0,239,289,3124,
5.69871E+11,7.95685E+17,7.55521E+17,TWEET FROM: PrinceReebusRNC,PRINCEREEBUSRNC,'@Jenn_Abrams Do young people know Dinesh is a convicted fraudster?',http://twitter.com/755521483045076992/statuses/795685216022982656,TWITTER,United States,English,No,11/7/2016 17:51,11/9/2016 9:00,Neutral,0,0,0,0,0,0,0,1357,213,15155,
5.6978E+11,7.96214E+17,1716317082,TWEET FROM: JaacobSolis,JAACOBSOLIS,Trump wins #Florida I believe USA knows the name of its next President But let's take time #ElectionNight https://t.co/jwDPKky8fh,http://twitter.com/1716317082/statuses/796214107934429185,TWITTER,United States,English,No,11/9/2016 4:53,11/9/2016 4:54,Positive,0,0,0,0,0,0,0,515,689,32919,RETWEET
5.69773E+11,7.9621E+17,857298782,TWEET FROM: lilboat2930,LILBOAT2930,"Anyway, history will be made tonight! #ElectionNight",http://twitter.com/857298782/statuses/796209844915175424,TWITTER,United States,English,No,11/9/2016 4:36,11/9/2016 4:37,Neutral,0,0,0,0,0,0,0,159,69,647,RETWEET
5.69773E+11,7.9621E+17,4215270853,TWEET FROM: sickapc,SICKAPC,I voted: #myvote2016 #voted #ElectionDay,http://twitter.com/4215270853/statuses/796209650043490304,TWITTER,Unknown,English,No,11/9/2016 4:35,11/9/2016 4:36,Neutral,0,0,0,0,0,0,0,339,221,4289,RETWEET
5.69772E+11,7.96209E+17,1023659581,TWEET FROM: Terry24681865,TERRY24681865,Trump wins #Florida I believe USA knows the name of its next President But let's take time #ElectionNight https://t.co/jwDPKky8fh,http://twitter.com/1023659581/statuses/796209103810990081,TWITTER,United States,English,No,11/9/2016 4:33,11/9/2016 4:34,Positive,0,0,0,0,0,0,0,3196,2920,72113,RETWEET
5.6977E+11,7.96208E+17,1601751318,TWEET FROM: Paul55770744,PAUL55770744,I voted: #myvote2016 #voted #ElectionDay,http://twitter.com/1601751318/statuses/796207784463364096,TWITTER,United States,English,No,11/9/2016 4:28,11/9/2016 4:29,Neutral,0,0,0,0,0,0,0,1683,1605,41724,RETWEET
5.69769E+11,7.96207E+17,963259986,TWEET FROM: theking12321,THEKING12321,'@Jenn_Abrams @realDonaldTrump you were saying?',http://twitter.com/963259986/statuses/796207192684789760,TWITTER,United States,English,No,11/9/2016 4:26,11/9/2016 4:26,Neutral,0,0,0,0,0,0,0,902,642,20154,
5.69769E+11,7.96207E+17,3028316466,TWEET FROM: dumb_usage,DUMB_USAGE,Trump wins #Florida I believe USA knows the name of its next President But let's take time #ElectionNight https://t.co/jwDPKky8fh,http://twitter.com/3028316466/statuses/796206950463590401,TWITTER,Unknown,English,No,11/9/2016 4:25,11/9/2016 4:25,Positive,0,0,0,0,0,0,0,90,40,811,RETWEET
