ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.69674E+11,7.96139E+17,1395719498,TWEET FROM: BlackEndowment,BLACKENDOWMENT,'@Blacktivists This is why most in the black community barely blink an eye when a cop is killed. When they value #blacklivesmatter we will value them RIP',http://twitter.com/1395719498/statuses/796138932685533184,TWITTER,United States,English,No,11/8/2016 23:54,11/8/2016 23:54,Negative,0,0,0,0,0,0,0,206,124,2180,
5.69673E+11,7.96138E+17,1395719498,TWEET FROM: BlackEndowment,BLACKENDOWMENT,Michelle Lee Shirley was fatally shot by Torrance police officer as she approached a group of cops in her car.  https://t.co/EnFQTf7FjG https://t.co/klfarvd67E,http://twitter.com/1395719498/statuses/796137760633425921,TWITTER,United States,English,No,11/8/2016 23:50,11/8/2016 23:50,Negative,0,0,0,0,0,0,0,206,124,2179,RETWEET
5.69633E+11,7.96103E+17,1635893376,TWEET FROM: Ste_BlackParent,STE_BLACKPARENT,"In America, you always feel like there is something wrong with being proud of your ethnicity that is often mistaken as hate. https://t.co/LEWG0OSB9w",http://twitter.com/1635893376/statuses/796103452774584320,TWITTER,United States,English,No,11/8/2016 21:33,11/8/2016 21:34,Negative,0,0,0,0,0,0,0,1760,2203,71481,RETWEET
5.69598E+11,7.96071E+17,3302401854,TWEET FROM: SuchTruewords,SUCHTRUEWORDS,Arkansas Razorbacks basketball team took a knee for injustice and police brutality in America https://t.co/BKQrH6y28F,http://twitter.com/3302401854/statuses/796070504771809280,TWITTER,United States,English,No,11/8/2016 19:22,11/8/2016 19:22,Negative,0,0,0,0,0,0,0,57,75,4870,RETWEET
5.69515E+11,7.96002E+17,331728788,TWEET FROM: studentveronica,STUDENTVERONICA,"Remember, a lion doesn't care about the feelings of its prey. https://t.co/OElxRVCTyE",http://twitter.com/331728788/statuses/796001654558564352,TWITTER,United States,English,No,11/8/2016 14:49,11/8/2016 14:49,Neutral,0,0,0,0,0,0,0,4605,1336,12653,RETWEET
5.69507E+11,7.95996E+17,4513103952,TWEET FROM: R_Stone01,R_STONE01,This image is timeless. It`s hard to believe how many innocent lives are being taken by police officers. https://t.co/FiDrJMFqNA,http://twitter.com/4513103952/statuses/795996446789107712,TWITTER,Unknown,English,No,11/8/2016 14:28,11/8/2016 14:28,Neutral,0,0,0,0,0,0,0,545,189,2141,RETWEET
5.6947E+11,7.95968E+17,7.51631E+17,TWEET FROM: soaringpast1,SOARINGPAST1,"'@Blacktivists I'm proud of you sisters,stay on the path of change....THANK YOU!!!!!'",http://twitter.com/751630779285897216/statuses/795967871197282304,TWITTER,Unknown,English,No,11/8/2016 12:35,11/8/2016 12:35,Positive,0,0,0,0,0,0,0,63,9,547,
5.69458E+11,7.95957E+17,381713818,TWEET FROM: WuLords,WULORDS,Why aren't they show us these great black people on the TV? https://t.co/xAf0JOdLJM,http://twitter.com/381713818/statuses/795956667951284224,TWITTER,United States,English,No,11/8/2016 11:50,11/8/2016 11:50,Neutral,0,0,0,0,0,0,0,57142,55145,15817,RETWEET
5.69448E+11,7.95948E+17,7.16117E+17,TWEET FROM: Solid_AceBoss,SOLID_ACEBOSS,"Did you know that before Colin Kaepernick, there was Duane Thomas? https://t.co/7phLcgLhNu",http://twitter.com/716117181734395904/statuses/795947716178309120,TWITTER,Unknown,English,No,11/8/2016 11:14,11/8/2016 11:15,Neutral,0,0,0,0,0,0,0,1263,170,2283,RETWEET
5.69384E+11,7.95873E+17,367051987,TWEET FROM: tumelolove,TUMELOLOVE,"Did you know that before Colin Kaepernick, there was Duane Thomas? https://t.co/7phLcgLhNu",http://twitter.com/367051987/statuses/795873488351490048,TWITTER,United States,English,No,11/8/2016 6:20,11/8/2016 6:20,Neutral,0,0,0,0,0,0,0,221,71,3238,RETWEET
