ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.69762E+11,7.96202E+17,3193798556,TWEET FROM: SmailRenee,SMAILRENEE,A research has highlighted the suspicion of many that the Electoral College has traces of Black slavery.  https://t.co/fmS7u6qs4m,http://twitter.com/3193798556/statuses/796202329200619523,TWITTER,United States,English,No,11/9/2016 4:06,11/9/2016 4:07,Negative,0,0,0,0,0,0,0,101,69,3710,RETWEET
5.69754E+11,7.96197E+17,80218102,TWEET FROM: ca_milli1017,CA_MILLI1017,#wtf https://t.co/13Zy4EubKt,http://twitter.com/80218102/statuses/796196765787627520,TWITTER,United States,English,No,11/9/2016 3:44,11/9/2016 3:45,Negative,0,0,0,0,0,0,0,1165,418,6901,QUOTE_TWEET
5.69751E+11,7.96195E+17,7.05093E+17,TWEET FROM: MatriarchAthena,MATRIARCHATHENA,My sources say otherwise https://t.co/FzxPSD9OTD,http://twitter.com/705092549971681281/statuses/796194925637468160,TWITTER,United States,English,No,11/9/2016 3:37,11/9/2016 3:37,Neutral,0,0,0,0,0,0,0,2310,1956,42932,QUOTE_TWEET
5.69751E+11,7.96194E+17,481539986,TWEET FROM: CherylMichaels1,CHERYLMICHAELS1,'@blicqer @blackmattersus The drop for the sane + rise for the seriously insane can give us a failed state of the union.',http://twitter.com/481539986/statuses/796194375936000002,TWITTER,United States,English,No,11/9/2016 3:35,11/9/2016 3:35,Negative,0,0,0,0,0,0,0,1113,1089,10123,
5.6975E+11,7.96194E+17,2349523825,TWEET FROM: geemanezxmas,GEEMANEZXMAS,"'@blackmattersus  Yes, it is criminal when someone makes a decision on their own.'",http://twitter.com/2349523825/statuses/796194170654232576,TWITTER,United States,English,No,11/9/2016 3:34,11/9/2016 3:34,Negative,0,0,0,0,0,0,0,0,0,23,
5.69749E+11,7.96193E+17,49461943,TWEET FROM: OperationNation,OPERATIONNATION,Wouldn't doubt it. Why should we care? Euro-imperial status quo continues either way. Nothing changes. White dude in White House again. https://t.co/JIJBkAMi3a,http://twitter.com/49461943/statuses/796193376466939905,TWITTER,United States,English,No,11/9/2016 3:31,11/9/2016 3:31,Neutral,0,0,0,0,0,0,0,859,910,12029,QUOTE_TWEET
5.69749E+11,7.96193E+17,731019727,TWEET FROM: charluv2011,CHARLUV2011,African American Voters’ Numbers May Drop This Election https://t.co/pCjfhNwkdC @BlackMattersUS https://t.co/Ngm9l0Bei0,http://twitter.com/731019727/statuses/796193050850521090,TWITTER,Belize,English,No,11/9/2016 3:29,11/9/2016 3:30,Neutral,0,0,0,0,0,0,0,7659,7123,180770,RETWEET
5.69748E+11,7.96193E+17,3034626213,TWEET FROM: blicqer,BLICQER,African American Voters’ Numbers May Drop This Election https://t.co/pCjfhNwkdC @BlackMattersUS https://t.co/Ngm9l0Bei0,http://twitter.com/3034626213/statuses/796192672041926657,TWITTER,United States,English,No,11/9/2016 3:28,11/9/2016 3:28,Neutral,0,0,0,0,0,0,0,60023,75829,133722,
5.69737E+11,7.96185E+17,15240581,TWEET FROM: direct7000,DIRECT7000,"1.#MichelleShirley got shot by the police while having mental health crises She was bipolar.They shot her, then lied in the report about it. https://t.co/yTwdPTbTpi",http://twitter.com/15240581/statuses/796184970775576576,TWITTER,Unknown,English,No,11/9/2016 2:57,11/9/2016 2:57,Negative,0,0,0,0,0,0,0,1735,1506,127495,RETWEET
5.69735E+11,7.96183E+17,7.05093E+17,TWEET FROM: MatriarchAthena,MATRIARCHATHENA,White Man Receives Compensation After Violent Police Beating https://t.co/CMe8LLyk9t @BlackMattersUS https://t.co/vqcEiNkLbS,http://twitter.com/705092549971681281/statuses/796183118004781056,TWITTER,United States,English,No,11/9/2016 2:50,11/9/2016 2:51,Neutral,0,0,0,0,0,0,0,2310,1956,42887,RETWEET
5.69732E+11,7.96181E+17,2486559509,TWEET FROM: jerryturner36,JERRYTURNER36,White Man Receives Compensation After Violent Police Beating https://t.co/CMe8LLyk9t @BlackMattersUS https://t.co/vqcEiNkLbS,http://twitter.com/2486559509/statuses/796181391503458305,TWITTER,New Zealand,English,No,11/9/2016 2:43,11/9/2016 2:43,Neutral,0,0,0,0,0,0,0,1528,32,401,RETWEET
5.69725E+11,7.96177E+17,3034626213,TWEET FROM: blicqer,BLICQER,White Man Receives Compensation After Violent Police Beating https://t.co/CMe8LLyk9t @BlackMattersUS https://t.co/vqcEiNkLbS,http://twitter.com/3034626213/statuses/796177068811657216,TWITTER,United States,English,No,11/9/2016 2:26,11/9/2016 2:26,Neutral,0,0,0,0,0,0,0,59916,75816,133681,
5.69694E+11,7.96155E+17,2930175764,TWEET FROM: TrojanNinja85,TROJANNINJA85,A research has highlighted the suspicion of many that the Electoral College has traces of Black slavery.  https://t.co/fmS7u6qs4m,http://twitter.com/2930175764/statuses/796155320712077312,TWITTER,Unknown,English,No,11/9/2016 0:59,11/9/2016 1:00,Negative,0,0,0,0,0,0,0,780,430,78308,RETWEET
