ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.78146E+11,7.95488E+17,621419621,TWEET FROM: PMorris153,PMORRIS153,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/621419621/statuses/795488384152125440,TWITTER,United States,English,No,11/7/2016 4:49,12/1/2016 19:45,Neutral,0,0,0,0,0,0,0,328,1060,406905,RETWEET
5.78144E+11,7.95385E+17,7.25368E+17,TWEET FROM: JUSTICE4BP,JUSTICE4BP,'@rolandsmartin @MrChuckD @HipHopDX @BlackNewsOutlet @BlkHistStudies @GetJETmag @EBONYMag @Power1051 @RevJackson   https://t.co/Bg5LW2HNvK https://t.co/Q7Hu7jsIsU',http://twitter.com/725367796285227010/statuses/795384923423174656,TWITTER,Unknown,English,No,11/6/2016 21:58,12/1/2016 19:35,Neutral,0,0,0,0,0,0,0,231,74,1373,
5.73067E+11,7.9331E+17,3391400589,TWEET FROM: Mques_6,MQUES_6,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/3391400589/statuses/793310235230408704,TWITTER,Unknown,English,No,11/1/2016 4:34,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,273,245,3965,RETWEET
5.73067E+11,7.9331E+17,90531543,TWEET FROM: DatHurdler_Theo,DATHURDLER_THEO,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/90531543/statuses/793310407079370752,TWITTER,United States,English,No,11/1/2016 4:35,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,2031,2823,52645,RETWEET
5.73067E+11,7.93311E+17,1562030101,TWEET FROM: lini25_,LINI25_,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/1562030101/statuses/793311196309061632,TWITTER,United States,English,No,11/1/2016 4:38,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,984,1219,55082,RETWEET
5.73067E+11,7.93312E+17,48354827,TWEET FROM: lefteyeLONDIE,LEFTEYELONDIE,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/48354827/statuses/793311807003725824,TWITTER,United States,English,No,11/1/2016 4:40,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,1732,1894,62975,RETWEET
5.73067E+11,7.93517E+17,3241247205,TWEET FROM: 665f70796ccd49a,665F70796CCD49A,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/3241247205/statuses/793517319154786304,TWITTER,United States,English,No,11/1/2016 18:17,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,322,305,7192,RETWEET
5.73067E+11,7.93311E+17,347683546,TWEET FROM: _DUVALL_,_DUVALL_,This boy is woke as fuck. RT #StayWoke https://t.co/zlbAlOYQ6E,http://twitter.com/347683546/statuses/793310811045433345,TWITTER,United States,English,No,11/1/2016 4:36,11/17/2016 20:32,Neutral,0,0,0,0,0,0,0,498,708,20009,RETWEET
5.69776E+11,7.96211E+17,3433138707,TWEET FROM: woadie5,WOADIE5,"""My name is Brittany Foreman...and today I witnessed Voter Fraud."" #ElectionDay https://t.co/kklBTZ602P",http://twitter.com/3433138707/statuses/796211271356006400,TWITTER,Unknown,English,No,11/9/2016 4:42,11/9/2016 4:43,Neutral,0,0,0,0,0,0,0,445,593,9956,RETWEET
5.69769E+11,7.96207E+17,4281484696,TWEET FROM: madpie0616,MADPIE0616,Voting machine problems reported across metro Detroit #ElectionDay   https://t.co/bURXLjPLYc,http://twitter.com/4281484696/statuses/796206854393237504,TWITTER,United States,English,No,11/9/2016 4:24,11/9/2016 4:25,Negative,0,0,0,0,0,0,0,44,34,1005,RETWEET
