ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.75214E+11,7.9334E+17,3317657956,TWEET FROM: nave_travis,NAVE_TRAVIS,#CreepyHillary�� https://t.co/e4MnEHa6Eu,http://twitter.com/3317657956/statuses/793339575284432896,TWITTER,Unknown,English,No,11/1/2016 6:31,11/23/2016 16:39,Neutral,0,0,0,0,0,0,0,272,386,41068,RETWEET
5.69679E+11,7.93899E+17,3336181396,TWEET FROM: jakew1967,JAKEW1967,'@Pamela_Moore13 @AnnCoulter #USElections2016 https://t.co/eqLYNUipCC',http://twitter.com/3336181396/statuses/793898517332910085,TWITTER,United States,English,No,11/2/2016 19:32,11/9/2016 0:09,Neutral,0,0,0,0,0,0,0,4028,1012,47892,
5.6796E+11,7.93951E+17,3929940677,TWEET FROM: neverhillary,NEVERHILLARY,Newt Gingrich is absolutely right! https://t.co/cD0U49fJ9K,http://twitter.com/3929940677/statuses/793951306054565888,TWITTER,United States,English,No,11/2/2016 23:01,11/4/2016 10:49,Neutral,0,0,0,0,0,0,0,1572,875,9767,RETWEET
5.67426E+11,7.93951E+17,2281459806,TWEET FROM: Liam_DuFond,LIAM_DUFOND,'@Pamela_Moore13 https://t.co/2lrwPvCf9c',http://twitter.com/2281459806/statuses/793950996330377216,TWITTER,,English,No,11/2/2016 23:00,11/3/2016 0:49,Neutral,0,0,0,0,0,0,0,136,73,1368,
5.67412E+11,7.93966E+17,7.59839E+17,TWEET FROM: TracyTlm45,TRACYTLM45,'@Pamela_Moore13 @ecastro977 which of these are wrong ? You people need to look beyond the lies. https://t.co/aWowVcoXNE',http://twitter.com/759839252532256769/statuses/793965819512266752,TWITTER,Unknown,English,No,11/2/2016 23:59,11/3/2016 0:00,Neutral,0,0,0,0,0,0,0,111,79,865,
5.67412E+11,7.93966E+17,3003944897,TWEET FROM: MilanoXviper33,MILANOXVIPER33,Watch: Huma's mother is a promoter of Sharia Law & stated USA had 9/11 coming to it https://t.co/ab5FEQE8fw,http://twitter.com/3003944897/statuses/793965866916478976,TWITTER,United States,English,No,11/2/2016 23:59,11/3/2016 0:00,Neutral,0,0,0,0,0,0,0,248,264,3026,RETWEET
5.67412E+11,7.93966E+17,1491573812,TWEET FROM: ScottRipem99,SCOTTRIPEM99,"Donald Trump in Miami, FL: ""I love that sign, blacks for Trump!""   Vote Trump https://t.co/bcVweN6F1w",http://twitter.com/1491573812/statuses/793965886054993920,TWITTER,United States,English,No,11/2/2016 23:59,11/2/2016 23:59,Neutral,0,0,0,0,0,0,0,3405,3373,45296,RETWEET
5.67412E+11,7.93966E+17,2551681279,TWEET FROM: Stlcurtinfan,STLCURTINFAN,"If you Vote for #Hillary you're telling your children it's okay to lie, cheat, steal & be corrupt.    Vote Trump! https://t.co/6ivqBduzA0",http://twitter.com/2551681279/statuses/793965859614048257,TWITTER,United States,English,No,11/2/2016 23:59,11/2/2016 23:59,Neutral,0,0,0,0,0,0,0,868,867,16868,RETWEET
5.67412E+11,7.93966E+17,7.86225E+17,TWEET FROM: wakethefuuuup,WAKETHEFUUUUP,"'@Pamela_Moore13 let's hope independent thought wins over generations being told how to vote, not using common sense to see thru manipulation'",http://twitter.com/786224810271600640/statuses/793965835144536064,TWITTER,Unknown,English,No,11/2/2016 23:59,11/2/2016 23:59,Neutral,0,0,0,0,0,0,0,256,123,3750,RETWEET
5.67412E+11,7.93966E+17,613132047,TWEET FROM: firebrand54,FIREBRAND54,"If you Vote for #Hillary you're telling your children it's okay to lie, cheat, steal & be corrupt.    Vote Trump! https://t.co/6ivqBduzA0",http://twitter.com/613132047/statuses/793965840278224896,TWITTER,United States,English,No,11/2/2016 23:59,11/2/2016 23:59,Neutral,0,0,0,0,0,0,0,3010,2328,25650,RETWEET
