ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.69774E+11,7.9621E+17,70156027,TWEET FROM: EmfingerSScout,EMFINGERSSCOUT,'@ChrisCoon4 @catwahler @marchaig @omarbula @Trump_Videos @USA_Gunslinger @USAHEROSALUTE @PMgeezer @carolinagirl63 @trump2021 @phil200269',http://twitter.com/70156027/statuses/796210410802319361,TWITTER,United States,English,No,11/9/2016 4:38,11/9/2016 4:39,Neutral,0,0,0,0,0,0,0,188043,722920,50806,
5.69772E+11,7.96209E+17,829735580,TWEET FROM: Mike_Beacham,MIKE_BEACHAM,'@catwahler @marchaig @ChrisCoon4 @omarbula @Trump_Videos @USA_Gunslinger @USAHEROSALUTE @PMgeezer @carolinagirl63 @trump2021 @phil200269',http://twitter.com/829735580/statuses/796209048911749122,TWITTER,United States,English,No,11/9/2016 4:33,11/9/2016 4:34,Neutral,0,0,0,0,0,0,0,82921,104437,154826,RETWEET
5.69759E+11,7.962E+17,1486932570,TWEET FROM: dewjnky16,DEWJNKY16,We only get to elect the first woman president once. Let's not waste it on such a horrible human being as Hillary. https://t.co/y6s1YDKFie,http://twitter.com/1486932570/statuses/796200341176012800,TWITTER,United States,English,No,11/9/2016 3:58,11/9/2016 3:59,Negative,0,0,0,0,0,0,0,178,26,628,RETWEET
5.69754E+11,7.96197E+17,32312741,TWEET FROM: angelssonico,ANGELSSONICO,Retweeted American Gunslinger (@USA_Gunslinger):  It's us against the establishment! We can't lose the fight!... https://t.co/WeM1uNFUEb,http://twitter.com/32312741/statuses/796196556835844097,TWITTER,Argentina,English,No,11/9/2016 3:43,11/9/2016 3:43,Positive,0,0,0,0,0,0,0,2416,515,16800,
5.69754E+11,7.96197E+17,32312741,TWEET FROM: angelssonico,ANGELSSONICO,It's us against the establishment! We can't lose the fight! https://t.co/1NM4EKMxUn,http://twitter.com/32312741/statuses/796196525433114625,TWITTER,Argentina,English,No,11/9/2016 3:43,11/9/2016 3:43,Positive,0,0,0,0,0,0,0,2416,515,16799,RETWEET
5.69745E+11,7.96191E+17,172182893,TWEET FROM: rob_skr,ROB_SKR,First results from Ohio. #ElectionNight https://t.co/F8pzU3WtzN,http://twitter.com/172182893/statuses/796190504228683776,TWITTER,Canada,English,No,11/9/2016 3:19,11/9/2016 3:20,Positive,0,0,0,0,0,0,0,53,9,81,RETWEET
5.69745E+11,7.96191E+17,172182893,TWEET FROM: rob_skr,ROB_SKR,Florida YES!!! #ElectionNight https://t.co/PRR2Q1lELh,http://twitter.com/172182893/statuses/796190530292117508,TWITTER,Canada,Uzbek,No,11/9/2016 3:19,11/9/2016 3:19,Neutral,0,0,0,0,0,0,0,53,9,82,RETWEET
5.69745E+11,7.9619E+17,172182893,TWEET FROM: rob_skr,ROB_SKR,We only get to elect the first woman president once. Let's not waste it on such a horrible human being as Hillary. https://t.co/y6s1YDKFie,http://twitter.com/172182893/statuses/796190449987948545,TWITTER,Canada,English,No,11/9/2016 3:19,11/9/2016 3:19,Negative,0,0,0,0,0,0,0,53,9,80,RETWEET
5.69745E+11,7.9619E+17,737802522,TWEET FROM: Super_Vika012,SUPER_VIKA012,We only get to elect the first woman president once. Let's not waste it on such a horrible human being as Hillary. https://t.co/y6s1YDKFie,http://twitter.com/737802522/statuses/796190290436571140,TWITTER,Ukraine,English,No,11/9/2016 3:18,11/9/2016 3:19,Negative,0,0,0,0,0,0,0,68,7,1746,RETWEET
5.69744E+11,7.9619E+17,2503091451,TWEET FROM: HaiseSpirits,HAISESPIRITS,'@USA_Gunslinger @ujellym8 —steadfast Hillary supporters',http://twitter.com/2503091451/statuses/796190001063198721,TWITTER,United States,English,No,11/9/2016 3:17,11/9/2016 3:17,Positive,0,0,0,0,0,0,0,735,764,83943,
