,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,676944570475786240,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Carson: ""We need to begin the healing process and bring safety back to America"" #GOPDebate #SouthLoneStar",2015-12-16 01:58,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
1,676949805420191744,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Paul: ""Marko doesn't know anything about the immigration"" #GOPDebate #SouthLoneStar",2015-12-16 02:19,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
2,676944842212179969,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Trump: ""People like what I say. People respect what I say"" #GOPDebate #SouthLoneStar",2015-12-16 02:00,TweetDeck,,,,False,,,,,0.0,0.0,6.0,3.0,"[GOPDebate, SouthLoneStar]",[],,
3,676955009762856962,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Bush: ""Leadership is not about attacking people but about creating strategies"" #GOPDebate #SouthLoneStar",2015-12-16 02:40,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
4,676926337219747840,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Pataki: ""Look at Peshmerga in Kurdistan. Women are great fighters"" #GOPDebate #SouthLoneStar",2015-12-16 00:46,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
5,676950905984524288,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Bush: ""FBI has the tools necessary to monitor anti-American things in the country"" #GOPDebate #SouthLoneStar",2015-12-16 02:24,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
6,676946767385096192,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Cruz: ""There are millions of peaceful Muslims. It's not a war on faith"". #GOPDebate #SouthLoneStar",2015-12-16 02:07,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
7,676954787305414658,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Trump: ""You interrupted me, Jeb, and you didn't even apologize"" #GOPDebate #SouthLoneStar",2015-12-16 02:39,TweetDeck,,,,False,,,,,0.0,0.0,2.0,2.0,"[GOPDebate, SouthLoneStar]",[],,
8,676930873225289728,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Huckabee: ""We don't elect kings. We elect servants"" #GOPDebate #SouthLoneStar",2015-12-16 01:04,TweetDeck,,,,False,,,,,0.0,0.0,1.0,1.0,"[GOPDebate, SouthLoneStar]",[],,
9,676922528028360704,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Santorum: ""We are lining up with the Shia world against the Sunni world. That's wrong"" #GOPDebate #SouthLoneStar",2015-12-16 00:31,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[GOPDebate, SouthLoneStar]",[],,
