,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,603183622141513728,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"@JebBush While these people were fighting for #freedom, other guys were getting money with armour deals. Ain't it right?",2015-05-26 12:59,Twitter Web Client,6.024909003805491e+17,113047940,,False,,,,,0.0,0.0,0.0,0.0,[freedom],[],[113047940],
1,704028262784212992,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,und,#WakeUpAmerica #PoliticalCorrectness #Islam #Religionofpeace and #freedom https://t.co/53RzCfRcEn,2016-02-28 19:39,TweetDeck,,,,False,,,,,0.0,1.0,5.0,15.0,"[WakeUpAmerica, PoliticalCorrectness, Islam, Religionofpeace, freedom]",[],,
2,690310697402634241,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,A special thank you to all who served to preserve the #freedom of our great nation. https://t.co/ULK7NNq480,2016-01-21 23:11,Twitter Web Client,,,,False,,,,,0.0,1.0,17.0,17.0,[freedom],[],,
3,691755156833177600,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Freedom is expression https://t.co/klNN204IW5,2016-01-25 22:50,Twitter Web Client,,,,False,,,,,0.0,1.0,8.0,3.0,[Freedom],[],,
4,693206645611040768,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Freedom is contagious. https://t.co/BH5GnSc65B,2016-01-29 22:58,Twitter Web Client,,,,False,,,,,0.0,0.0,12.0,7.0,[Freedom],[],,
5,882297977821290497,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,#freedom isn't free https://t.co/8kzjkRCzN8,2017-07-04 18:00,TweetDeck,,,,False,,,,,1.0,1.0,46.0,32.0,[freedom],[],,
6,583077276486627328,2943515140,Screamy Monkey,ScreamyMonkey,,First frontier.News aggreagtor.,,13358,13851,2014-12-27,en,en,Arkansas poised to adopt religious #freedom law http://t.co/C1k77tPzUk,2015-04-01 01:23,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,[freedom],[],,
7,692818218055024642,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,We must believe in #freedom if we want to reap its benefits. https://t.co/mrCXmgDCjQ,2016-01-28 21:15,Twitter Web Client,,,,False,,,,,0.0,2.0,5.0,11.0,[freedom],[],,
8,640260879703912448,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#security #freedom http://t.co/v1M1X27ytH,2015-09-05 20:31,TweetDeck,,,,False,,,,,0.0,1.0,13.0,13.0,"[security, freedom]",[],,
9,636122063871299584,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Twitter has forced 30 websites that archive politician's deleted tweets to shut down and you say #freedom of speech http://t.co/xvFNBEFqVb,2015-08-25 10:24,Twitter Web Client,,,,False,,,,,0.0,1.0,3.0,13.0,"[Twitter, freedom]",[],,
10,694997550835699712,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Perfect picture for people who think #security is more important than #freedom https://t.co/a0wyxpMZ7W,2016-02-03 21:35,TweetDeck,,,,False,,,,,0.0,1.0,10.0,17.0,"[security, freedom]",[],,
11,659932118101811200,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"#Justice Department to begin release of over 6,000 federal inmates under new guidelines #freedom https://t.co/RU1RgYAn7S",2015-10-30 03:17,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,4.0,"[Justice, freedom]",[],,
12,675486985172176896,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Texas will never accept transgenders! Perverts, go away!  #Texas #Texascountry #freedom https://t.co/LyLK0l1AeS",2015-12-12 01:27,TweetDeck,,,,False,,,,,0.0,2.0,4.0,2.0,"[Texas, Texascountry, freedom]",[],,
13,664901764999593984,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,the #BenCarson rap ad ... this will probably be of the most awkward moments of this election #BlackTwitter #Freedom https://t.co/Pzj8aKUwi1,2015-11-12 20:25,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,0.0,"[BenCarson, BlackTwitter, Freedom]",[],,
14,882259000120815617,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,und,#freedom https://t.co/7xCS9QdxfL,2017-07-04 15:25,TweetDeck,,,,False,,,,,1.0,0.0,13.0,9.0,[freedom],[],,
15,663449644278661121,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,#Illegals shouldn't have a right to vote #BeingPatriotic #patrots #USA #America #freedom https://t.co/jCo2kMz8xS,2015-11-08 20:14,Twitter Web Client,,,,False,,,,,0.0,1.0,7.0,6.0,"[Illegals, BeingPatriotic, patrots, USA, America, freedom]",[],,
16,882253345108447233,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,und,#freedom https://t.co/IzImfTyjfX,2017-07-04 15:02,Twitter Web Client,,,,False,,,,,2.0,0.0,30.0,14.0,[freedom],[],,
17,652937913278136320,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"The #freedom nowadays Oh, irony! http://t.co/J2yekmsVlq",2015-10-10 20:05,TweetDeck,,,,False,,,,,0.0,4.0,11.0,6.0,[freedom],[],,
18,675691717606051841,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,Proud to be Texan! Prepare for Christmas! #Texas #SouthLoneStar #patriotic #republican #freedom https://t.co/sQvHPexTGL,2015-12-12 15:00,TweetDeck,,,,False,,,,,0.0,1.0,2.0,1.0,"[Texas, SouthLoneStar, patriotic, republican, freedom]",[],,
19,582220606801715200,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"@ohiomail @politico They say #LoveIsLove , Mike Pence says #freedom is freedom his own way.",2015-03-29 16:39,Twitter Web Client,5.822111069885522e+17,109854452,,False,,,,,0.0,0.0,0.0,0.0,"[LoveIsLove, freedom]",[],"[109854452, 9300262]",
20,626085551649599488,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Freedom blanket. Because America. That's why. http://t.co/kcVWHv7HDa,2015-07-28 17:43,Twitter Web Client,,,,False,,,,,0.0,0.0,4.0,2.0,[Freedom],[],,
21,772081024364908544,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Look at all that #freedom https://t.co/UFnPdjpveW,2016-09-03 14:37,Twitter Web Client,,,,False,,,,,2.0,0.0,11.0,11.0,[freedom],[],,
22,499446022956142594,2262049316,ЖИВОЙ ДАЙДЖЕСТ,digestlj,Санкт-Петербург,В Живом Дайджесте мы собираем всё самое захватывающее и увлекательное.,http://t.co/ZzWq22htSS,16390,1200,2013-12-25,ru,en,RT @ba2efff0e4e0da7631c8a474e77a41e29b0d46920d5a972364b69d1f5b1fb56c: Strivers achieve what dreamers believe. -Usher Raymond #freedom,2014-08-13 06:43,newtwittersky,,,,True,ba2efff0e4e0da7631c8a474e77a41e29b0d46920d5a972364b69d1f5b1fb56c,4.9944501165072794e+17,,,0.0,0.0,0.0,0.0,[freedom],,[ba2efff0e4e0da7631c8a474e77a41e29b0d46920d5a972364b69d1f5b1fb56c],
23,691754073561944065,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Gets a punch of #freedom https://t.co/ZE1P97jGax,2016-01-25 22:46,Twitter Web Client,,,,False,,,,,0.0,2.0,11.0,10.0,[freedom],[],,
24,692795949538652160,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,es,#Freedom made in China https://t.co/qIlqsZQm97,2016-01-28 19:46,Twitter Web Client,,,,False,,,,,0.0,2.0,14.0,25.0,[Freedom],[],,
25,691812457359282176,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,It's your choice! #freedom https://t.co/NxI19d58Ft,2016-01-26 02:38,Twitter Web Client,,,,False,,,,,0.0,3.0,6.0,3.0,[freedom],[],,
26,668800054916833280,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #TXS #Patriots #sayings #proverbs #brainyquote #freedom https://t.co/YMXKUKw1Kv,2015-11-23 14:35,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,1.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, TXS, Patriots, sayings, proverbs, brainyquote, freedom]",[],,
27,640622521625108480,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Your first and most important right! #freedom http://t.co/0taYt8B5Cz,2015-09-06 20:28,TweetDeck,,,,False,,,,,0.0,3.0,31.0,28.0,[freedom],[],,
28,692143742002696192,2743327187,Washington Online,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",,40762,14404,2014-08-15,en,und,#History #freedom https://t.co/rkrSq93Eo2,2016-01-27 00:35,TweetDeck,,,,False,,,,,0.0,0.0,3.0,2.0,"[History, freedom]",[],,
29,723934591946358784,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Passover’s Message Of #Religious #Freedom https://t.co/CKMsxJkghd https://t.co/aSM8MSRgLA,2016-04-23 18:00,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[Religious, Freedom]",[http://bit.ly/1qI20hG],,
