,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,682350035267366914,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"#Muslim terrorists threaten America, they hate us, they want us dead. Why should we accept all those refugees then? https://t.co/LDOdIaBSYY",2015-12-30 23:58,TweetDeck,,,,False,,,,,0.0,3.0,17.0,22.0,[Muslim],[],,
1,674557436343095296,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"Over 35,000 Britons petition to ban #Trump from UK after '#Muslim ban' comments https://t.co/QUWyRTxKc0",2015-12-09 11:53,Twitter Web Client,6.745058314639606e+17,2912754262,,False,,,,,0.0,4.0,3.0,0.0,"[Trump, Muslim]",[],,
2,697143767363686400,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,This photo requires no comments. This is our Government today and we must change it #WakeUpAmerica #muslim https://t.co/CXVRtowpYq,2016-02-09 19:43,TweetDeck,,,,False,,,,,0.0,2.0,4.0,12.0,"[WakeUpAmerica, muslim]",[],,
3,679120570642862080,2530830345,New Orleans Online,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",,35988,11010,2014-05-05,en,en,More than 30 clergy members demonstrate peace toward #Muslim community https://t.co/IDuCgeM8Ma https://t.co/yKeAnNV6Qp,2015-12-22 02:05,TweetDeck,,,,False,,,,,0.0,0.0,14.0,11.0,[Muslim],[http://bit.ly/1PjQrXq],,
4,622827136668143616,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Texas residents threaten to dump pigs blood on site of proposed #Muslim cemetery http://t.co/GirwTQA1xf,2015-07-19 17:55,Twitter Web Client,,,,False,,,,,0.0,4.0,2.0,11.0,"[Texas, Muslim]",[],,
5,664625878056333312,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,#MUSLIM WOMAN SAVAGELY BEATEN FOR SPEAKING SWAHILI IN AN AMERICAN RESTAURANT https://t.co/VaknDxnjeX https://t.co/YFIPn873lT,2015-11-12 02:08,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,7.0,[MUSLIM],[http://www.jambonewspot.com/woman-who-grew-up-in-kenya-attacked-in-a-us-restaurant-for-speaking-swahili/],,
6,681873353146241024,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,THIS IS HORRIBLE! Watch video from Germany: #Muslim immigrants brag about gang-raping virgin girl https://t.co/g4juc16lw5,2015-12-29 16:24,Twitter Web Client,,,,False,,,,,0.0,4.0,3.0,17.0,[Muslim],[https://www.youtube.com/watch?v=OXSDbQWG8u4],,
7,780594338925510656,1650681522,Messiah Haynes,IlikeBIGbuttand,United States,The only true wisdom is in knowing you know nothing!,,5172,2833,2013-08-06,en,en,#ThingsMoreTrustedThanHillary Your new #Muslim neighbors,2016-09-27 02:26,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[ThingsMoreTrustedThanHillary, Muslim]",[],,
8,643043353643216896,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Poll: 29% of all #Americans, including 43% of #Republicans, say they think @POTUS is a #Muslim http://t.co/m6CtA9Oqce",2015-09-13 12:47,Twitter Web Client,,,,False,,,,,0.0,5.0,11.0,14.0,"[Americans, Republicans, Muslim]",[],[1536791610],
9,670269613670666240,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,The Statue of Liberty was originally a #Muslim woman https://t.co/xUzLNGtPSF,2015-11-27 15:55,TweetDeck,,,,False,,,,,0.0,1.0,5.0,10.0,[Muslim],[],,
10,825785359644626945,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,"Muslims chant: ""USA you will pay, caliphate is on its way"" Please, show this video to all liberals! #DeleteUber #StopPresidentBannon #Muslim https://t.co/ZH1dWToepp",2017-01-29 19:19,Twitter Web Client,,,,False,,,,,801.0,740.0,3626.0,6277.0,"[DeleteUber, StopPresidentBannon, Muslim]",[],,
11,686203366771326976,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,If I had a dollar for each time an Islamic #Muslim committed a terrorist act I wouldn't need to win the lottery https://t.co/GOAECulNDB,2016-01-10 15:10,TweetDeck,,,,False,,,,,0.0,5.0,36.0,47.0,[Muslim],[],,
12,687021034424385536,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"The #Democratic candidates are a socialist, a corrupted, lying progressive, and a #Muslim cock sucker https://t.co/i24unymMr4",2016-01-12 21:19,TweetDeck,,,,False,,,,,0.0,0.0,1.0,1.0,"[Democratic, Muslim]",[],,
13,701486057745829888,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Denmark now JAILS critics of #Islam. Once the land of proud Vikings, now a #Muslim shithole https://t.co/0dUJaPrJ7U https://t.co/9boFFtdha3",2016-02-21 19:18,TweetDeck,,,,False,,,,,0.0,15.0,46.0,93.0,"[Islam, Muslim]",[http://www.allenbwest.com/2016/02/this-european-country-is-the-first-to-jail-critics-of-islam/],,
14,605425060229218306,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#SCOTUS rules in favour of a #Muslim woman who was denied a job because of her headscarf. Fighting for/against freedom continues,2015-06-01 17:25,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,1.0,"[SCOTUS, Muslim]",[],,
15,626050282204434432,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,1000 #muslim men killed a teenager who’s only crime was running away to marry a Muslim man whom she loved http://t.co/OQW60IeN2u,2015-07-28 15:23,Twitter Web Client,,,,False,,,,,0.0,4.0,1.0,6.0,[muslim],[],,
16,691400433672261633,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Four Iranian Christians prosecuted for “spreading Christianity” https://t.co/qDUlkLupAZ  #WakeUpAmerica #Muslim,2016-01-24 23:21,TweetDeck,,,,False,,,,,0.0,3.0,9.0,17.0,"[WakeUpAmerica, Muslim]",[http://bit.ly/1QthWhU],,
17,688477439253610496,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,Today it became clear. Obama officially became the ultimate traitor. #IranSanctions #Obama #Traitor #Muslim https://t.co/7uNzzgwnZ4,2016-01-16 21:46,TweetDeck,,,,False,,,,,0.0,1.0,12.0,22.0,"[IranSanctions, Obama, Traitor, Muslim]",[],,
18,601544005143269376,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#ISIS finds new HORRIBLY BARBARIC way to execute a #Muslim...with a BAZOOKA. http://t.co/QrJjWC4MAH,2015-05-22 00:24,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[ISIS, Muslim]",[],,
19,707319202009354241,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"England. Girl, 8, sexually assaulted by a #Muslim https://t.co/zxYFQjKx7U Look at him. He doesn't even look human https://t.co/LWYc69i4tC",2016-03-08 21:36,TweetDeck,,,,False,,,,,0.0,6.0,12.0,50.0,[Muslim],[http://bit.ly/1YtqB5q],,
20,689142217211035648,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"Hey, #Muslim excusers! Here's the translation for your ""It's their religion/culture"" thing https://t.co/IEwlQx4mXL",2016-01-18 17:48,Twitter Web Client,,,,False,,,,,0.0,2.0,5.0,22.0,[Muslim],[],,
21,687047145405460480,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,Freed #Guantanamo #Muslim detainee said he would ‘Kill Americans’ if released. https://t.co/3SxKCVLwDG https://t.co/uEN3XSrthT,2016-01-12 23:02,TweetDeck,,,,False,,,,,0.0,5.0,11.0,24.0,"[Guantanamo, Muslim]",[http://bit.ly/1ULetu7],,
22,665865598975373312,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,After #ParisAattacks #Muslim extremism in Europe looks pretty much like this https://t.co/cKaD6IE4Pd,2015-11-15 12:15,TweetDeck,,,,False,,,,,0.0,0.0,1.0,5.0,"[ParisAattacks, Muslim]",[],,
23,605436426105155584,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @Politweecs: #SCOTUS rules in favour of a #Muslim woman who was denied a job because of her headscarf. Fighting for/against freedom cont…,2015-06-01 18:11,Jigsaw-T,,,,True,2912754262,6.054250602292183e+17,,,0.0,0.0,0.0,0.0,"[SCOTUS, Muslim]",[],[2912754262],
24,671249066685104128,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#Canada synagogue opens doors to #Muslim worshipers after mosque arson https://t.co/KglsXjt4ew,2015-11-30 08:47,TweetDeck,,,,False,,,,,0.0,1.0,7.0,6.0,"[Canada, Muslim]",[],,
25,670305866478829568,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Smithsonian: Statue of Liberty was originally a #Muslim woman https://t.co/d19MKwaKrU,2015-11-27 18:19,TweetDeck,,,,False,,,,,0.0,6.0,9.0,22.0,[Muslim],[],,
26,673343676878163969,2587474264,Minneapolis Online,MinneapolisON,"Minneapolis, MN","Breaking news, weather, traffic and more for Minneapolis. DM us anytime. RTs not endorsements",,13481,7724,2014-06-06,en,en,Minnesota #Muslim Community works to eliminate negative stereotype https://t.co/62nx6E8Azu https://t.co/yGEYRA6Hc2,2015-12-06 03:30,TweetDeck,,,,False,,,,,0.0,0.0,3.0,0.0,[Muslim],[http://bit.ly/1NAPtAM],,
27,711382105259909120,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,Can you name at least one #Muslim achievement? https://t.co/cmuyTSJDus,2016-03-20 02:41,TweetDeck,,,,False,,,,,0.0,34.0,129.0,175.0,[Muslim],[],,
28,657192746667659264,2495567768,San Francisco Daily,DailySanFran,"San Francisco, CA","Follow for San Francisco's breaking news, special reports, entertainment and more from @DailySanFran",,22688,8375,2014-05-15,en,en,#FBI opens hate crime probe in Indiana attack on #Muslim woman https://t.co/LVVykF5rgB,2015-10-22 13:52,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[FBI, Muslim]",[],,
29,888400926477762568,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,und,Al-Aqsa: #Israel bars #Muslim men under 50 amid protests https://t.co/pUTqNXgtd2,2017-07-21 14:11,TweetDeck,,,,False,,,,,0.0,1.0,4.0,7.0,"[Israel, Muslim]",[],,
30,688074673981157376,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Obama and Kerry want to Outsource Refugee Screening to the United Nations #Muslim https://t.co/fx4BB1saKt https://t.co/zl2SPtulZ9,2016-01-15 19:06,TweetDeck,,,,False,,,,,0.0,4.0,3.0,11.0,[Muslim],[http://bit.ly/1n12BZX],,
