,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,679360525185081345,2601235821,Pittsburgh Today,TodayPittsburgh,"Pittsburgh, PA","Pittsburgh's local news on Twitter. Breaking news, sports, events  and international news. Tweet us or DM",,20790,10408,2014-06-11,en,en,Grandparents take to rocking chairs to #protest fracking near schools https://t.co/RmA4XcmgXz,2015-12-22 17:59,TweetDeck,,,,False,,,,,0.0,0.0,0.0,2.0,[protest],[],,
1,657967320971644928,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"Missouri's Gateway Arch monument built on rigged votes, protests #Protest https://t.co/GVcbvcJApN",2015-10-24 17:10,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,[Protest],[],,
2,758948698357243904,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Join our event! RT: https://t.co/BORZrInUj0  #Black #protest https://t.co/GvOJWN7maI,2016-07-29 08:54,Twitter Web Client,,,,False,,,,,2.0,0.0,5.0,7.0,"[Black, protest]",[http://bit.ly/2a4bVLb],,
3,805477783593947136,2494509505,Мария Котова,Kotovamarys,"Калининград, Россия","Родина там, где чувствуешь себя свободно.",,5487,87,2014-05-14,ru,en,"RT @RT_com: 1,000s of Spaniards march against corporations &amp; #austerity (VIDEO) https://t.co/MBdlADp4Tk  #spain #protest https://t.co/tb3XD…",2016-12-04 18:24,Twitter Web Client,,,,True,64643056,8.054659221106524e+17,,,0.0,0.0,0.0,0.0,"[austerity, spain, protest]",[http://on.rt.com/7wtw],[64643056],
4,733687812881518594,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Protesters In Texas Confront Mayor After Joe Cruz’s Murder https://t.co/YK5ukE5gQz #JoseCruz #protest https://t.co/zl5QMy9BLU,2016-05-20 15:56,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,16.0,"[JoseCruz, protest]",[https://goo.gl/bLdltu],,
5,659896041584619521,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Iranian actress publishes pictures of herself without a hijab in #protest of religious laws https://t.co/etRezH68oG,2015-10-30 00:54,Twitter Web Client,,,,False,,,,,0.0,2.0,2.0,4.0,"[Iranian, protest]",[],,
6,738019049863544832,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Inside Protests: Intimate Glimpse Into NYC Events https://t.co/lcmmO7XMoe @NYC_ShutItDown  @ALBDamn #protest https://t.co/TMir26SpQq,2016-06-01 14:47,Twitter Web Client,,,,False,,,,,0.0,1.0,14.0,17.0,[protest],[http://bit.ly/22xMxhK],"[30272877, 3067080123]",
7,801523470962196484,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Dead silence will be good enough #protest https://t.co/2xxlShdHqz,2016-11-23 20:31,TweetDeck,,,,False,,,,,2.0,1.0,55.0,67.0,[protest],[],,
8,717019067354222593,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,#Pot #Protest in D.C. No Arrests Reported https://t.co/DjDwbRmRqY https://t.co/B32vSmJw4q,2016-04-04 16:00,TweetDeck,,,,False,,,,,0.0,0.0,3.0,1.0,"[Pot, Protest]",[http://bit.ly/1RUgHHI],,
9,669340866264231936,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @rickmajewski: On balbo in grant park after 3 activists got arrested #chicago #CPD #LaquanMcDonald #protest https://t.co/RXH4HIo7zi,2015-11-25 02:24,Twitter Web Client,,,,True,264010635,6.693271837106708e+17,,,0.0,0.0,0.0,0.0,"[chicago, CPD, LaquanMcDonald, protest]",[],[264010635],
