,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,680840555975196673,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #Patriots https://t.co/qVLlcLEw0N,2015-12-26 20:00,TweetDeck,,,,False,,,,,0.0,0.0,5.0,4.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, Patriots]",[],,
1,673756352250953729,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,We cannot trust Hillary who appears intent on continuing Obama's efforts to decide.  #BeingPatriotic #patriots https://t.co/qVFwZ7N6uX,2015-12-07 06:50,TweetDeck,,,,False,,,,,0.0,0.0,3.0,3.0,"[BeingPatriotic, patriots]",[],,
2,699401584418029568,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,en,This is my favourite Reagan's quote. So true! #PresidentsDay #mondaymotivation #Quotes #USA #Patriots https://t.co/NpSH1xL2U9,2016-02-16 01:15,TweetDeck,,,,False,,,,,0.0,1.0,30.0,36.0,"[PresidentsDay, mondaymotivation, Quotes, USA, Patriots]",[],,
3,669421818692968449,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,Don't mess with Texas! #TXS #Texas #USA #Patriots https://t.co/Ftp9dzgrJA,2015-11-25 07:46,Twitter Web Client,,,,False,,,,,0.0,0.0,5.0,4.0,"[TXS, Texas, USA, Patriots]",[],,
4,828375303206629377,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,"Lady Gaga was hired for the #PepsiHalftime show, nothing more. Do your job and put politics aside, no one's interested. #SuperBowl #Patriots",2017-02-05 22:50,Twitter Web Client,,,,False,,,,,25.0,80.0,713.0,303.0,"[PepsiHalftime, SuperBowl, Patriots]",[],,
5,692435716027060224,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"Federals killed a wonderful father, a loving and committed husband, a model American and a true patriot.  #Patriots https://t.co/QkFmlNE4KQ",2016-01-27 19:55,TweetDeck,,,,False,,,,,0.0,0.0,7.0,9.0,[Patriots],[],,
6,664591068227313664,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"50,000 US #veterans are homeless. Those heroes deserve better. #BeingPatriotic #VeteransDay #patriots https://t.co/YBEuY6A28s",2015-11-11 23:50,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,18.0,"[veterans, BeingPatriotic, VeteransDay, patriots]",[],,
7,680479312416489474,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #Patriots https://t.co/awOuzqs47q,2015-12-25 20:04,TweetDeck,,,,False,,,,,0.0,0.0,2.0,2.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, Patriots]",[],,
8,680568748655263744,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #Patriots https://t.co/f7bOIdNxkm,2015-12-26 02:00,TweetDeck,,,,False,,,,,0.0,0.0,5.0,3.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, Patriots]",[],,
9,706588945153306624,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #Patriots https://t.co/VOpety8BRh,2016-03-06 21:15,TweetDeck,,,,False,,,,,0.0,2.0,6.0,2.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, Patriots]",[],,
