,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,823524942906003457,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"You say ""he can't"" but He Can! @realDonaldTrump #MakeAmericaGreatAgain  https://t.co/oFkmLdad1U",2017-01-23 13:37,TweetDeck,,,,False,,,,,0.0,1.0,10.0,6.0,[MakeAmericaGreatAgain],[https://www.youtube.com/watch?v=ajppWvtW2I4],[25073877],
1,731931587743453186,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,PC will ruin our society. Germany and Sweden are already lost! #Trump2016 #MakeAmericaGreatAgain https://t.co/FfXTP4zGVb,2016-05-15 19:37,TweetDeck,,,,False,,,,,0.0,4.0,34.0,62.0,"[Trump2016, MakeAmericaGreatAgain]",[],,
2,704461467077222401,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Don't listen to media and don't let them control u! 'Racist' Trump and his 'racist' audience #MakeAmericaGreatAgain https://t.co/I6dn2lxGuR,2016-03-01 00:21,TweetDeck,,,,False,,,,,0.0,1.0,8.0,23.0,[MakeAmericaGreatAgain],[],,
3,768538034799308801,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"This would be impossible without your support, Florida patriots! We will #MakeAmericaGreatAgain! 🇺🇸 https://t.co/A4ztZi6kES",2016-08-24 19:58,Twitter Web Client,,,,False,,,,,0.0,1.0,24.0,31.0,[MakeAmericaGreatAgain],[],,
4,709860836471341061,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,"#PrimaryDay Ted Cruz is an opportunist, can't fight without cheating. Time to take America back from establishment! #MakeAmericaGreatAgain",2016-03-15 21:56,TweetDeck,7.098601575561708e+17,4289431230,,False,,,,,0.0,0.0,8.0,7.0,"[PrimaryDay, MakeAmericaGreatAgain]",[],,
5,703022786780991488,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,@Stumpin4Trump Hi! Thanks for the words! People will #MakeAmericaGreatAgain,2016-02-26 01:04,TweetDeck,7.030225361167319e+17,4856076416,,False,,,,,0.0,0.0,3.0,1.0,[MakeAmericaGreatAgain],[],[4856076416],
6,847476011994193920,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,und,😅😅#MakeAmericaGreatAgain https://t.co/riGpwtguqJ,2017-03-30 15:50,TweetDeck,,,,False,,,,,37.0,21.0,451.0,311.0,[MakeAmericaGreatAgain],[],,
7,712046093169729541,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,@FoxNews @realDonaldTrump we should help Israel and #MakeAmericaGreatAgain https://t.co/iI14Dy1hyB,2016-03-21 22:39,TweetDeck,7.120455724637184e+17,1367531,,False,,,,,0.0,0.0,9.0,7.0,[MakeAmericaGreatAgain],[],"[1367531, 25073877]",
8,734525166655406080,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,What a great photo! #MakeAmericaGreatAgain https://t.co/C6LnDYavtA,2016-05-22 23:23,Twitter Web Client,,,,False,,,,,0.0,5.0,75.0,76.0,[MakeAmericaGreatAgain],[],,
9,836625517117849602,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,I missed it too! #MakeAmericaGreatAgain https://t.co/ZnPKxTdTjC,2017-02-28 17:14,TweetDeck,,,,False,,,,,0.0,5.0,58.0,45.0,[MakeAmericaGreatAgain],[],,
