,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,638341436774047744,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"Mental Treatment, not a bullet to the chest! #AlanPean #PoliceAbuse #PoliceBrutality #StayWoke http://t.co/dGSoh9rFXQ http://t.co/Gns3ifUQ2M",2015-08-31 13:23,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,7.0,"[AlanPean, PoliceAbuse, PoliceBrutality, StayWoke]",[http://m.krgv.com/news/family-of-valley-man-shot-in-houston-speaks/34995862],,
1,787997105017221120,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"The worst of america is the media remaining silent about things that matter: racism, violence, pollution, police brutality.  #Staywoke",2016-10-17 12:42,Twitter Web Client,,,,False,,,,,2.0,8.0,119.0,96.0,[Staywoke],[],,
2,788356329387810816,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"Never make the mistake of interpreting this exception as the rule. But thank you, about time. #BlackLivesMatter #StayWoke https://t.co/gbcHkH8Y1v",2016-10-18 12:29,Twitter Web Client,,,,False,,,,,12.0,9.0,206.0,163.0,"[BlackLivesMatter, StayWoke]",[],,
3,664631025960509440,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"What’s scary is that those #police officers have kids too, who grow up to be racist like their parents.  #StayWoke https://t.co/GaF4tk43ck",2015-11-12 02:29,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,8.0,"[police, StayWoke]",[],,
4,664928202163359744,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Lit!!! artwork by Houda Shams https://t.co/ZU90T0oeS7 #BlackLivesMatter end #PoliceBrutality #StayWoke https://t.co/HVdNaD35uB,2015-11-12 22:10,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,0.0,"[BlackLivesMatter, PoliceBrutality, StayWoke]",[http://willdrawfor.tumblr.com/],,
5,632592968361218054,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"Um, someone needs to tell this to every police officer.  Some seem not to understand #StayWoke http://t.co/cJAUJgwK1k http://t.co/OkS4bDpZHS",2015-08-15 16:41,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[StayWoke],[http://www.huffingtonpost.com/2014/08/13/filming-police-officers_n_5676940.html],,
6,793747120390074368,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,It's not enough dressing in Native costumes during #Halloween #NativeAmerican need our help. THEY NEED OUR VOICES.  #NoDAPL #staywoke https://t.co/zlbpLh7GkD,2016-11-02 09:30,Twitter Web Client,,,,False,,,,,17.0,10.0,201.0,253.0,"[Halloween, NativeAmerican, NoDAPL, staywoke]",[],,
7,633715022393294848,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Former Fairfax #police officer charged with #murder of #unarmed Springfield man. #black #BlackLivesMatter #StayWoke http://t.co/FFUYT8mQHy,2015-08-18 19:00,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[police, murder, unarmed, black, BlackLivesMatter, StayWoke]",[],,
8,666064819628347392,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"Hey, #BlackTwitter I'll be sharing my #WokeArt collection for next few hours so yall better #StayWoke https://t.co/Bo6PQpGqKI",2015-11-16 01:26,Twitter Web Client,,,,False,,,,,0.0,0.0,8.0,7.0,"[BlackTwitter, WokeArt, StayWoke]",[],,
9,697109510536744961,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Leaked #police files contain guarantees disciplinary records will be kept secret #StayWoke https://t.co/HUqMj9LP8h https://t.co/gtNURMhkUp,2016-02-09 17:27,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,3.0,"[police, StayWoke]",[http://www.theguardian.com/us-news/2016/feb/07/leaked-police-files-contain-guarantees-disciplinary-records-will-be-kept-secret],,
10,631432480872988672,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Live coverage as demonstrators mark the death of #MikeBrown in #Ferguson #StayWoke  http://t.co/6yWOmnrYsD http://t.co/QGHKJwTAz1,2015-08-12 11:50,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[MikeBrown, Ferguson, StayWoke]",[http://goo.gl/N6EOIS],,
11,781219381896359937,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Do not call the police on mental illness! EVER! #ElCajon #AlfredoOlango #BlackLivesmatter #StayWoke https://t.co/uZSiSoKOUW,2016-09-28 19:49,Twitter Web Client,,,,False,,,,,9.0,7.0,113.0,129.0,"[ElCajon, AlfredoOlango, BlackLivesmatter, StayWoke]",[],,
