,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,682385721236140033,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,"Finally, someone gets it RIGHT! #Texas #2a #traditions #conservative https://t.co/wwc2HML1MZ",2015-12-31 02:20,TweetDeck,,,,False,,,,,0.0,0.0,5.0,7.0,"[Texas, 2a, traditions, conservative]",[],,
1,696672105115623424,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,I love my country! I hate hypocritical government!  #America #BeingPatriotic #PJNET #Patriot #Conservative https://t.co/oPXk1Mb3zJ,2016-02-08 12:29,Twitter Web Client,,,,False,,,,,0.0,1.0,15.0,8.0,"[America, BeingPatriotic, PJNET, Patriot, Conservative]",[],,
2,669229553357881344,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,If 25% of welfare is collected by 13% of the population.#teaparty #teapartynews #theteaparty #politics #conservative https://t.co/EjiAf4rIej,2015-11-24 19:02,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,15.0,"[teaparty, teapartynews, theteaparty, politics, conservative]",[],,
3,702500899172847616,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,How many patriots know the Pledge of Allegiance? #USAFlag #Patriot #BeingPatriotic #USA #USArmy #PJNET #Conservative https://t.co/BXOv31ODXT,2016-02-24 14:30,Twitter Web Client,,,,False,,,,,0.0,2.0,11.0,14.0,"[USAFlag, Patriot, BeingPatriotic, USA, USArmy, PJNET, Conservative]",[],,
4,669022664246190081,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,We need to stand for the traditional values. #teapartynews #theteaparty #conservative https://t.co/NS3VH5BOh7,2015-11-24 05:20,TweetDeck,,,,False,,,,,0.0,0.0,1.0,3.0,"[teapartynews, theteaparty, conservative]",[],,
5,670874902459629569,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,Thanks to Obama soon we will probably face Sharia law here. #teapartynews #theteaparty #politics #conservative https://t.co/V6UX4Zrax9,2015-11-29 08:00,TweetDeck,,,,False,,,,,0.0,2.0,9.0,20.0,"[teapartynews, theteaparty, politics, conservative]",[],,
6,669042806329991168,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,#Obama can't even give them a proper salute! #teapartynews #theteaparty #politcal #conservative https://t.co/SCFW2wagki,2015-11-24 06:40,TweetDeck,,,,False,,,,,0.0,0.0,5.0,8.0,"[Obama, teapartynews, theteaparty, politcal, conservative]",[],,
7,667897734779703296,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,"#Guns don't kill people, people kill people #teapartynews #theteaparty #2a #patriots #conservative https://t.co/zE5BAe0B7V",2015-11-21 02:50,TweetDeck,,,,False,,,,,0.0,0.0,13.0,7.0,"[Guns, teapartynews, theteaparty, 2a, patriots, conservative]",[],,
8,663516393938227200,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,#Hillary for president? The worst nightmare anyone can imagine. #teapartynews #theteaparty #politics #conservative https://t.co/vdVEn7ehvX,2015-11-09 00:40,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,6.0,"[Hillary, teapartynews, theteaparty, politics, conservative]",[],,
9,670814479827922944,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,What this brilliant candidate deserves is prison! #teapartynews #theteaparty #politics #conservative https://t.co/aPthuzGEeg,2015-11-29 04:00,TweetDeck,,,,False,,,,,0.0,0.0,5.0,11.0,"[teapartynews, theteaparty, politics, conservative]",[],,
10,695424661685841921,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,That's how Americans resolve their problems! #teapartynews #theteaparty #politics #conservative https://t.co/QMtFNuB9ws,2016-02-05 01:52,Twitter Web Client,,,,False,,,,,0.0,1.0,15.0,23.0,"[teapartynews, theteaparty, politics, conservative]",[],,
11,669708409625710593,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,"Superiority, this is what they need. #teapartynews #theteaparty #politics #conservative https://t.co/GI8xysvPsl",2015-11-26 02:45,TweetDeck,,,,False,,,,,0.0,0.0,8.0,7.0,"[teapartynews, theteaparty, politics, conservative]",[],,
12,671394288098349057,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,I don't think it is a proper way to claim for justice. Agree? #teapartynews #theteaparty #politics #conservative https://t.co/FpgZo5UuWV,2015-11-30 18:24,TweetDeck,,,,False,,,,,0.0,0.0,1.0,5.0,"[teapartynews, theteaparty, politics, conservative]",[],,
13,684062453693583362,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,und,#theteaparty #teapartynews #interesting #conservative https://t.co/gCexOvaVn5,2016-01-04 17:22,Twitter Web Client,,,,False,,,,,0.0,1.0,11.0,8.0,"[theteaparty, teapartynews, interesting, conservative]",[],,
14,700394214576758789,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,und,#AllLivesMatter! #BlueLivesMatter #TeaParty #conservative https://t.co/g61BpIeZ03,2016-02-18 18:59,Twitter Web Client,,,,False,,,,,0.0,2.0,17.0,25.0,"[AllLivesMatter, BlueLivesMatter, TeaParty, conservative]",[],,
15,662040361251008512,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,Save #America for our children! Defend your freedoms granted by the God! #TeaPartyNews #theteaparty #conservative https://t.co/mWsrqkSTSq,2015-11-04 22:54,Twitter Web Client,,,,False,,,,,0.0,0.0,15.0,24.0,"[America, TeaPartyNews, theteaparty, conservative]",[],,
16,684063393414836225,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,Piss off a #democrat: you can just start talking about freedoms. #TeaParty #TeaPartyNews #Conservative https://t.co/x0ER7NHxE2,2016-01-04 17:26,Twitter Web Client,,,,False,,,,,0.0,0.0,14.0,11.0,"[democrat, TeaParty, TeaPartyNews, Conservative]",[],,
17,713035663885541376,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,Raise our children with love to this country. Big trees have big roots! #BeingPatriotic #Conservative https://t.co/Fy80xaC31G,2016-03-24 16:12,Twitter Web Client,,,,False,,,,,0.0,0.0,14.0,7.0,"[BeingPatriotic, Conservative]",[],,
