,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,737201054874537984,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#Syria : Turkey's #army has killed at least 28 Islamic State fighters  https://t.co/xKsyOw4lnk https://t.co/R5mvFZGnrM,2016-05-30 08:36,Twitter Web Client,,,,False,,,,,0.0,1.0,2.0,10.0,"[Syria, army]",[http://www.ondemandnews.com/World/173316/turkeys-army-has-killed-at-least-28-islamic-state-fighters],,
1,696453909930471424,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"They like gays in the army, but don't like southern patriots. Is this America? #southunited #confederateflag #army https://t.co/nssqcYGmw2",2016-02-07 22:02,Twitter Web Client,,,,False,,,,,0.0,1.0,6.0,7.0,"[southunited, confederateflag, army]",[],,
2,645054779584999424,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,President #Obama nominates first openly gay #ARMY secretary http://t.co/lm6VSrjlVj,2015-09-19 02:00,TweetDeck,,,,False,,,,,0.0,1.0,1.0,2.0,"[Obama, ARMY]",[],,
3,702644288996282369,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,und,#Texas #Army https://t.co/jXIwOwWSrH,2016-02-25 00:00,TweetDeck,,,,False,,,,,0.0,0.0,9.0,5.0,"[Texas, Army]",[],,
4,855368011976384514,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#ISIS nears defeat in #Mosul as Iraqi #Army liberates several neighborhoods  https://t.co/FDlCae0Aat https://t.co/PA2ErloQQM,2017-04-21 10:30,TweetDeck,,,,False,,,,,1.0,1.0,27.0,30.0,"[ISIS, Mosul, Army]",[https://www.almasdarnews.com/article/isis-nears-defeat-mosul-iraqi-army-liberates-several-neighborhoods/],,
5,608173910622740480,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#Syrian group: We hacked U.S. #Army website http://t.co/WNTDNGe7J7,2015-06-09 07:28,Twitter Web Client,,,,False,,,,,0.0,1.0,0.0,3.0,"[Syrian, Army]",[],,
6,673743787231875073,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,I am ready to die for these guys. But I won’t die for Obama. #BeingPatriotic #republican #conservative #army https://t.co/dRzCDcEiKs,2015-12-07 06:00,TweetDeck,,,,False,,,,,0.0,0.0,5.0,2.0,"[BeingPatriotic, republican, conservative, army]",[],,
7,624368505693929472,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Pentagon says poor testing led to #Army shipping live anthrax specimens http://t.co/T60lUNhxte,2015-07-24 00:00,TweetDeck,,,,False,,,,,0.0,0.0,1.0,2.0,[Army],[],,
8,854688536783724545,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#Iran shows off newest long-range #missiles at #Army Day parade   https://t.co/Xi55AWHR4Y https://t.co/vwiH4TLsnL,2017-04-19 13:30,TweetDeck,,,,False,,,,,0.0,1.0,7.0,11.0,"[Iran, missiles, Army]",[https://www.rt.com/news/385276-iran-missiles-parade-israel/],,
9,650852958733647876,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,More than 70 members of the North Carolina #ARMY National Guard have been activated by state Gov. Pat McCrory http://t.co/3jQEzKTtgg,2015-10-05 02:00,TweetDeck,,,,False,,,,,0.0,0.0,2.0,0.0,[ARMY],[],,
