,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,671223794313396224,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Talking to a white person is like talking to a brick wall  #BlackLivesMatter #BlackToLive #BlackPower https://t.co/Ici5QvRut0,2015-11-30 07:06,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,8.0,"[BlackLivesMatter, BlackToLive, BlackPower]",[],,
1,665135230672502784,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,? #BlackLivesMatter #BlackTwitter #blackpeopletwitter #Blackpower https://t.co/hD6vlq1e3e,2015-11-13 11:52,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,0.0,"[BlackLivesMatter, BlackTwitter, blackpeopletwitter, Blackpower]",[],,
2,659262622932402176,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Sheriff Says Third Video Shows South Carolina Student Punching Officer in Classroom #BlackTwitter #Blackpower https://t.co/wvkU0ONqh5,2015-10-28 06:57,Twitter Web Client,,,,False,,,,,0.0,1.0,0.0,0.0,"[BlackTwitter, Blackpower]",[],,
3,661108173332320256,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Dis's so accurate it hurts #BlackLivesMatter #BlackTwitter #Blackpower https://t.co/j1u245sPYX,2015-11-02 09:10,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,7.0,"[BlackLivesMatter, BlackTwitter, Blackpower]",[],,
4,749573353959219200,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"RT @soraia_elle: Sunderland!? I hope Beyonce gives her #blackpower best, bcs Sunderland is one of the MOST racist nasty city!  https://t.co…",2016-07-03 11:59,Twitter Web Client,,,7.495703154544804e+17,True,3180988574,7.495726747210547e+17,,,0.0,0.0,0.0,0.0,[blackpower],[https://twitter.com/trayneshacole/status/749570315454480384],[3180988574],
5,645198077700128768,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#Cops #Police #NYPD #Abuse #BlackLivesMatter #PoliceBrutality #PoliceViolence #policebelike #racism #BLM #BlackPower http://t.co/GXNmFGCs3U,2015-09-19 11:29,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,6.0,"[Cops, Police, NYPD, Abuse, BlackLivesMatter, PoliceBrutality, PoliceViolence, policebelike, racism, BLM, BlackPower]",[],,
6,658263232382021633,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Look at this  yo applause to #cops  #BlackLivesMatter #BlackPeople #BlackTwitter #BlackPower https://t.co/OHQ3iaGq7n,2015-10-25 12:45,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[cops, BlackLivesMatter, BlackPeople, BlackTwitter, BlackPower]",[],,
7,855050829820284933,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,#TIME100 A lot of black people on the list 💪🏿💪🏿💪🏿 #Blackpower https://t.co/St7YnSJeq4,2017-04-20 13:29,Twitter Web Client,,,,False,,,,,4.0,8.0,244.0,127.0,"[TIME100, Blackpower]",[],,
8,681038637530787840,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,“A Stroke of Justice” paintings  by Justice Dwight #Blackpower https://t.co/spA4wCzFpp,2015-12-27 09:07,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,2.0,[Blackpower],[],,
9,652094689189994496,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Design for a workshop on activism in #art #BlackLivesMatter #BlackTwitter #BlackPeopleRules #BlackPower http://t.co/ur8YoMc4QG,2015-10-08 12:14,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,2.0,"[art, BlackLivesMatter, BlackTwitter, BlackPeopleRules, BlackPower]",[],,
